Comics	8	35	6	33	7	61	6	28	11	17	
Communication	209	57	637	349	242	106	66	124	120	31	
Sports	119	31	29	309	64	100	98	191	256	24	
Social	72	113	166	421	39	107	15	148	124	21	
Lifestyle	147	209	164	288	180	254	111	295	618	114	
Libraries & Demo	20	31	39	13	50	56	5	21	16	12	
Books & Reference	207	38	226	223	108	125	42	170	442	91	
Transportation	63	22	16	41	47	16	12	49	307	14	
Sports Games	63	7	7	25	8	409	3	91	3	11	
Medical	61	14	16	38	21	28	10	31	97	12	
Travel & Local	148	37	118	174	114	45	12	133	807	19	
Entertainment	255	590	262	340	273	1486	844	593	337	321	
Health & Fitness	119	34	48	121	63	128	86	142	506	79	
Shopping	21	18	25	110	20	22	2	85	372	13	
Weather	30	20	9	21	52	13	1	48	258	10	
Arcade & Action	406	37	42	62	112	2212	15	679	19	94	
Finance	107	27	41	479	49	43	1	76	283	21	
Business	118	28	70	241	47	19	15	36	166	32	
Cards & Casino	216	29	23	28	15	377	3	178	22	35	
Music & Audio	142	34	61	120	160	188	536	285	114	48	
Media & Video	85	204	57	166	120	94	389	168	71	24	
News & Magazines	67	42	39	643	106	98	63	305	184	42	
Tools	518	307	810	624	1868	346	172	509	1011	201	
Personalization	402	991	187	41	704	362	45	343	87	510	
Education	160	70	203	197	87	252	74	164	203	94	
Casual	246	113	92	89	77	1571	46	498	45	119	
Racing	51	23	11	7	8	281	1	63	3	13	
Brain & Puzzle	251	73	189	85	120	1564	34	574	127	163	
Photography	64	597	13	42	38	36	16	96	24	47	
Productivity	260	116	231	392	405	70	73	187	787	59	
